
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   psi_config.obj
       994          0          0          0        196   psi_msg_decode.obj
      1694          0          0          0        776   psi_si_utils.obj
     10808          0          0          0       3724   rcs_cell.obj
      1216          6          0         88        880   rcs_init.obj
      3484          0          0          0       1268   rcs_plmn.obj
      1228          0          0          0        512   rcs_process.obj
      2774          0         53          0        556   reasm_llc_pdu_hdlr.obj
       266         32          0         36        344   reasm_main.obj
       478          0          0          2        208   reasm_sendmsgs.obj
      2808          0          0          0        684   rlc_ctrl_msg_hdlr.obj
       800          0          0          0        324   rlc_dl_ctrl_msg_hdlr.obj
      2158          0          0          0        400   rlc_dl_data_blk_hdlr.obj
         4          0          0          0        104   rlc_halfduplex_hdlr.obj
      5086          0          0          0       1632   rlc_llc_pdu_hdlr.obj
      1678         72          0       7350       1040   rlc_main.obj
       600        432          0          0       1004   rlc_msg_hdlr.obj
      3164          0          0          0        496   rlc_segment.obj
      3872          0          0          0       1408   rlc_sendmsgs.obj
      1870          0          0          0        560   rlc_test_mode.obj
      1076          0          0          0        716   rlc_timer_hdlr.obj
      4664          0          0          0       1400   rlc_ul_data_blk_hdlr.obj
       144          0          0          0        288   rlc_util.obj
       262        417          0          0        144   rmc_cb.obj
      4672          0          0          0       1584   rmc_cell_resel.obj
      3516          0          0          0        904   rmc_common_access.obj
      4190          0          0          0        712   rmc_dedicated_meas.obj
       728          0          0          0        408   rmc_dedicated_proc.obj
      1238          0          0          0        420   rmc_gmm_procs.obj
      6848          0          0          0       2088   rmc_gprs_cell_resel.obj
      4692          0          0          0       2336   rmc_gprs_meas_funcs.obj
      1712          0          0          0        864   rmc_gprs_nbr_cell.obj
      1040          0          0          0        388   rmc_gprs_pkt_access.obj
       570          0          0          0        492   rmc_gprs_sendmsgs.obj
      3332          0          0          0        632   rmc_gprs_si13_decode.obj
      4986          0          0          0       3732   rmc_gprs_timer_hdlr.obj
      1230          0          0       1184        248   rmc_main.obj
      2082          0          0          0        968   rmc_meas.obj
       564          0          0          0        140   rmc_mpal_interface.obj
      2320          0          0          0        432   rmc_mpal_nbcch_req.obj
      4570          0          0          0       3776   rmc_peer_dl_rest.obj
        72          0          0          0        120   rmc_rrm_procs.obj
       504          0          0          0        316   rmc_send_msgs.obj
      6068          0          0          0       1504   rmc_serv_nbr_meas.obj
      3316          0          0          0       1976   rmc_timer.obj
      3102          0          0          0        996   rmc_update_rla_meas.obj
         0          0          0          0          0   rmp_cell_resel.obj
         0          0          0          0          0   rmp_ctrlmsghdlr.obj
         0          0          0          0          0   rmp_init.obj
         0          0          0          0          0   rmp_interface.obj
         0          0          0          0          0   rmp_mpal_interface.obj
         0          0          0          0          0   rmp_pktacc.obj
         0          0          0          0          0   rmp_sendmsgs_to_mpal.obj
         0          0          0          0          0   rmp_timerhdlr.obj
      5504          0          0          0       3044   rmpc_common_func.obj
      2874          2          0          0       1132   rmpc_gprs_branch_funcs.obj
      8536          0          0          0       2792   rmpc_nbr_cell.obj
       382         20          0       1568        236   rr_create.obj
      4508          0          0       1040       2512   rr_data_ind.obj
       172          0          0          0        156   rr_dual_sim_process.obj
      5626          3          0          0       2092   rr_gprs_meas_decode.obj
      2074         84          0          0       1064   rr_gprs_utils.obj
      1632          0          0          0        988   rr_peh.obj
        96          0          0          0        268   rr_resel_params_decode.obj
        28          0          0          0         60   rr_spare_bit.obj
      9524          3          0          0       2956   rr_utils.obj
      2492          0          0          0       1172   rrm_cell_procs.obj
       788       3072          0        412        372   rrm_main.obj
      6918          0          0          0       2456   rrm_process.obj
       828          0          0          0       1248   rrm_send_msgs.obj
      5878          2          0          0       3536   rrm_utils.obj
      2508          0          0          0        824   si_class_b.obj
       886          0          0       3320        320   si_config.obj
     14542          0          0          0       3592   si_msg_decode.obj
      6576         84          0          0       2460   si_update_funcs.obj
    358828       5838         61      19487     168424   TOTAL

